,voyage_info_seq,seq,start_portUnLoCode,dest_portUnLoCode,start_port_name,dest_port_name,latitude,longitude,voyage_no,type
0,359719,56,BEANR,SNDKR,ANTWERP,DAKAR,51.3727778,2.7166667,00027,RWP
1,359719,57,BEANR,SNDKR,ANTWERP,DAKAR,51.3905556,2.6725,00027,RWP
2,359719,58,BEANR,SNDKR,ANTWERP,DAKAR,51.3838889,2.6247222,00027,RWP
3,359719,59,BEANR,SNDKR,ANTWERP,DAKAR,51.3936111,2.5136111,00027,RWP
4,359719,60,BEANR,SNDKR,ANTWERP,DAKAR,51.3419444,2.2883333,00027,RWP
5,359719,61,BEANR,SNDKR,ANTWERP,DAKAR,51.4338889,2.0391667,00027,RWP
6,359719,62,BEANR,SNDKR,ANTWERP,DAKAR,51.4441667,1.9591667,00027,RWP
7,359719,63,BEANR,SNDKR,ANTWERP,DAKAR,51.4102778,1.9088889,00027,RWP
8,359719,64,BEANR,SNDKR,ANTWERP,DAKAR,51.3186111,1.8494444,00027,RWP
9,359719,65,BEANR,SNDKR,ANTWERP,DAKAR,51.2872222,1.825,00027,RWP
10,359719,66,BEANR,SNDKR,ANTWERP,DAKAR,51.2275,1.7680556,00027,RWP
11,359719,67,BEANR,SNDKR,ANTWERP,DAKAR,50.9563889,1.2347222,00027,RWP
12,359719,68,BEANR,SNDKR,ANTWERP,DAKAR,50.8102778,1.0047222,00027,RWP
13,359719,69,BEANR,SNDKR,ANTWERP,DAKAR,50.6244444,0.6263889,00027,RWP
14,359719,70,BEANR,SNDKR,ANTWERP,DAKAR,50.4111111,-0.6091667,00027,RWP
15,359719,71,BEANR,SNDKR,ANTWERP,DAKAR,50.4002778,-3.3836111,00027,RWP
16,359719,72,BEANR,SNDKR,ANTWERP,DAKAR,50.2172222,-3.4808333,00027,RWP
17,359719,73,BEANR,SNDKR,ANTWERP,DAKAR,49.555,-5.0,00027,RWP
18,359719,74,BEANR,SNDKR,ANTWERP,DAKAR,49.1519444,-5.8183333,00027,RWP
19,359719,75,BEANR,SNDKR,ANTWERP,DAKAR,48.4930556,-6.5555556,00027,RWP
20,359719,76,BEANR,SNDKR,ANTWERP,DAKAR,43.8013889,-10.5355556,00027,RWP
21,359719,77,BEANR,SNDKR,ANTWERP,DAKAR,42.4577778,-11.0,00027,RWP
22,359719,78,BEANR,SNDKR,ANTWERP,DAKAR,39.3286111,-12.0,00027,RWP
23,359719,79,BEANR,SNDKR,ANTWERP,DAKAR,35.8847222,-13.0,00027,RWP
24,359719,80,BEANR,SNDKR,ANTWERP,DAKAR,32.1147222,-14.0,00027,RWP
25,359719,81,BEANR,SNDKR,ANTWERP,DAKAR,28.3547222,-14.9261111,00027,RWP
26,359719,82,BEANR,SNDKR,ANTWERP,DAKAR,27.6197222,-15.2266667,00027,RWP
27,359719,83,BEANR,SNDKR,ANTWERP,DAKAR,23.0166667,-17.5563889,00027,RWP
28,359719,84,BEANR,SNDKR,ANTWERP,DAKAR,20.4,-17.5891667,00027,RWP
29,359719,85,BEANR,SNDKR,ANTWERP,DAKAR,15.0013889,-17.6355556,00027,RWP
30,359719,86,BEANR,SNDKR,ANTWERP,DAKAR,14.7530556,-17.6397222,00027,RWP
31,359719,87,BEANR,SNDKR,ANTWERP,DAKAR,14.6011111,-17.4936111,00027,RWP
32,359719,88,BEANR,SNDKR,ANTWERP,DAKAR,14.6002778,-17.415,00027,RWP
33,359719,89,BEANR,SNDKR,ANTWERP,DAKAR,14.6216667,-17.3869444,00027,RWP
34,359719,90,BEANR,SNDKR,ANTWERP,DAKAR,14.6833333,-17.3861111,00027,RWP
35,360363,55,BEANR,SNDKR,ANTWERP,DAKAR,51.3716667,2.7252778,V0043,RWP
36,360363,56,BEANR,SNDKR,ANTWERP,DAKAR,51.3916667,2.5080556,V0043,RWP
37,360363,57,BEANR,SNDKR,ANTWERP,DAKAR,51.3397222,2.2855556,V0043,RWP
38,360363,58,BEANR,SNDKR,ANTWERP,DAKAR,51.4283333,2.0172222,V0043,RWP
39,360363,59,BEANR,SNDKR,ANTWERP,DAKAR,51.4091667,1.9191667,V0043,RWP
40,360363,60,BEANR,SNDKR,ANTWERP,DAKAR,51.2233333,1.7608333,V0043,RWP
41,360363,61,BEANR,SNDKR,ANTWERP,DAKAR,51.0258333,1.4344444,V0043,RWP
42,360363,62,BEANR,SNDKR,ANTWERP,DAKAR,50.9147222,1.3094444,V0043,RWP
43,360363,63,BEANR,SNDKR,ANTWERP,DAKAR,50.6041667,0.5913889,V0043,RWP
44,360363,64,BEANR,SNDKR,ANTWERP,DAKAR,50.4883333,-0.0433333,V0043,RWP
45,360363,65,BEANR,SNDKR,ANTWERP,DAKAR,50.4263889,-1.2222222,V0043,RWP
46,360363,66,BEANR,SNDKR,ANTWERP,DAKAR,50.4166667,-3.4352778,V0043,RWP
47,360363,67,BEANR,SNDKR,ANTWERP,DAKAR,50.1666667,-3.4675,V0043,RWP
48,360363,68,BEANR,SNDKR,ANTWERP,DAKAR,49.51,-4.235,V0043,RWP
49,360363,69,BEANR,SNDKR,ANTWERP,DAKAR,49.2133333,-5.0,V0043,RWP
50,360363,70,BEANR,SNDKR,ANTWERP,DAKAR,48.9077778,-5.7905556,V0043,RWP
51,360363,71,BEANR,SNDKR,ANTWERP,DAKAR,46.5405556,-7.6925,V0043,RWP
52,360363,72,BEANR,SNDKR,ANTWERP,DAKAR,43.8113889,-10.2988889,V0043,RWP
53,360363,73,BEANR,SNDKR,ANTWERP,DAKAR,28.3391667,-14.9219444,V0043,RWP
54,360363,74,BEANR,SNDKR,ANTWERP,DAKAR,27.6233333,-15.2238889,V0043,RWP
55,360363,75,BEANR,SNDKR,ANTWERP,DAKAR,24.1944444,-16.9388889,V0043,RWP
56,360363,76,BEANR,SNDKR,ANTWERP,DAKAR,20.2883333,-17.9155556,V0043,RWP
57,360363,77,BEANR,SNDKR,ANTWERP,DAKAR,15.0,-17.6333333,V0043,RWP
58,360363,78,BEANR,SNDKR,ANTWERP,DAKAR,14.6247222,-17.6355556,V0043,RWP
59,360363,79,BEANR,SNDKR,ANTWERP,DAKAR,14.5236111,-17.4883333,V0043,RWP
60,360363,80,BEANR,SNDKR,ANTWERP,DAKAR,14.5436111,-17.4041667,V0043,RWP
61,360363,81,BEANR,SNDKR,ANTWERP,DAKAR,14.6038889,-17.3211111,V0043,RWP
62,360363,82,BEANR,SNDKR,ANTWERP,DAKAR,14.6719444,-17.3216667,V0043,RWP
63,360363,83,BEANR,SNDKR,ANTWERP,DAKAR,14.6833333,-17.3861111,V0043,RWP
64,360887,61,BEANR,SNDKR,ANTWERP,DAKAR,51.3725,2.7258333,0033E,RWP
65,360887,62,BEANR,SNDKR,ANTWERP,DAKAR,51.3886111,2.6755556,0033E,RWP
66,360887,63,BEANR,SNDKR,ANTWERP,DAKAR,51.3916667,2.5086111,0033E,RWP
67,360887,64,BEANR,SNDKR,ANTWERP,DAKAR,51.3358333,2.2883333,0033E,RWP
68,360887,65,BEANR,SNDKR,ANTWERP,DAKAR,51.425,2.0569444,0033E,RWP
69,360887,66,BEANR,SNDKR,ANTWERP,DAKAR,51.4219444,2.0502778,0033E,RWP
70,360887,67,BEANR,SNDKR,ANTWERP,DAKAR,51.4219444,1.9888889,0033E,RWP
71,360887,68,BEANR,SNDKR,ANTWERP,DAKAR,51.2852778,1.8266667,0033E,RWP
72,360887,69,BEANR,SNDKR,ANTWERP,DAKAR,51.2227778,1.7625,0033E,RWP
73,360887,70,BEANR,SNDKR,ANTWERP,DAKAR,51.0380556,1.3838889,0033E,RWP
74,360887,71,BEANR,SNDKR,ANTWERP,DAKAR,50.9344444,1.2169444,0033E,RWP
75,360887,72,BEANR,SNDKR,ANTWERP,DAKAR,50.6169444,0.5713889,0033E,RWP
76,360887,73,BEANR,SNDKR,ANTWERP,DAKAR,50.4255556,-0.7013889,0033E,RWP
77,360887,74,BEANR,SNDKR,ANTWERP,DAKAR,50.4166667,-3.4361111,0033E,RWP
78,360887,75,BEANR,SNDKR,ANTWERP,DAKAR,50.1755556,-3.4377778,0033E,RWP
79,360887,76,BEANR,SNDKR,ANTWERP,DAKAR,49.1680556,-5.0108333,0033E,RWP
80,360887,77,BEANR,SNDKR,ANTWERP,DAKAR,49.1491667,-5.0736111,0033E,RWP
81,360887,78,BEANR,SNDKR,ANTWERP,DAKAR,48.9080556,-5.7922222,0033E,RWP
82,360887,79,BEANR,SNDKR,ANTWERP,DAKAR,48.5794444,-6.0544444,0033E,RWP
83,360887,80,BEANR,SNDKR,ANTWERP,DAKAR,43.59,-9.905,0033E,RWP
84,360887,81,BEANR,SNDKR,ANTWERP,DAKAR,43.2883333,-10.1058333,0033E,RWP
85,360887,82,BEANR,SNDKR,ANTWERP,DAKAR,42.7194444,-10.1061111,0033E,RWP
86,360887,83,BEANR,SNDKR,ANTWERP,DAKAR,28.3438889,-14.9233333,0033E,RWP
87,360887,84,BEANR,SNDKR,ANTWERP,DAKAR,27.6205556,-15.2208333,0033E,RWP
88,360887,85,BEANR,SNDKR,ANTWERP,DAKAR,21.5436111,-17.4997222,0033E,RWP
89,360887,86,BEANR,SNDKR,ANTWERP,DAKAR,20.7761111,-17.5275,0033E,RWP
90,360887,87,BEANR,SNDKR,ANTWERP,DAKAR,15.0,-17.7397222,0033E,RWP
91,360887,88,BEANR,SNDKR,ANTWERP,DAKAR,14.6702778,-17.7597222,0033E,RWP
92,360887,89,BEANR,SNDKR,ANTWERP,DAKAR,14.5119444,-17.6344444,0033E,RWP
93,360887,90,BEANR,SNDKR,ANTWERP,DAKAR,14.5116667,-17.3897222,0033E,RWP
94,360887,91,BEANR,SNDKR,ANTWERP,DAKAR,14.61,-17.3755556,0033E,RWP
95,360887,92,BEANR,SNDKR,ANTWERP,DAKAR,14.6361111,-17.3836111,0033E,RWP
96,360887,93,BEANR,SNDKR,ANTWERP,DAKAR,14.6763889,-17.3816667,0033E,RWP
97,360887,94,BEANR,SNDKR,ANTWERP,DAKAR,14.6833333,-17.3861111,0033E,RWP
98,361085,69,BEANR,SNDKR,ANTWERP,DAKAR,51.3722222,2.7255556,0039E,RWP
99,361085,70,BEANR,SNDKR,ANTWERP,DAKAR,51.3836111,2.6722222,0039E,RWP
100,361085,71,BEANR,SNDKR,ANTWERP,DAKAR,51.3833333,2.51,0039E,RWP
101,361085,72,BEANR,SNDKR,ANTWERP,DAKAR,51.3402778,2.2955556,0039E,RWP
102,361085,73,BEANR,SNDKR,ANTWERP,DAKAR,51.3752778,2.1891667,0039E,RWP
103,361085,74,BEANR,SNDKR,ANTWERP,DAKAR,51.4258333,2.025,0039E,RWP
104,361085,75,BEANR,SNDKR,ANTWERP,DAKAR,51.4272222,1.9333333,0039E,RWP
105,361085,76,BEANR,SNDKR,ANTWERP,DAKAR,51.2908333,1.805,0039E,RWP
106,361085,77,BEANR,SNDKR,ANTWERP,DAKAR,51.2255556,1.755,0039E,RWP
107,361085,78,BEANR,SNDKR,ANTWERP,DAKAR,51.0430556,1.3838889,0039E,RWP
108,361085,79,BEANR,SNDKR,ANTWERP,DAKAR,50.9105556,1.1925,0039E,RWP
109,361085,80,BEANR,SNDKR,ANTWERP,DAKAR,50.6238889,0.5988889,0039E,RWP
110,361085,81,BEANR,SNDKR,ANTWERP,DAKAR,50.4369444,-0.4652778,0039E,RWP
111,361085,82,BEANR,SNDKR,ANTWERP,DAKAR,50.2877778,-1.4022222,0039E,RWP
112,361085,83,BEANR,SNDKR,ANTWERP,DAKAR,50.4177778,-3.3236111,0039E,RWP
113,361085,84,BEANR,SNDKR,ANTWERP,DAKAR,50.4166667,-3.4361111,0039E,RWP
114,361085,85,BEANR,SNDKR,ANTWERP,DAKAR,50.2666667,-3.4322222,0039E,RWP
115,361085,86,BEANR,SNDKR,ANTWERP,DAKAR,50.1727778,-3.53,0039E,RWP
116,361085,87,BEANR,SNDKR,ANTWERP,DAKAR,49.2013889,-5.0,0039E,RWP
117,361085,88,BEANR,SNDKR,ANTWERP,DAKAR,49.1402778,-5.1766667,0039E,RWP
118,361085,89,BEANR,SNDKR,ANTWERP,DAKAR,48.9044444,-5.8094444,0039E,RWP
119,361085,90,BEANR,SNDKR,ANTWERP,DAKAR,48.5983333,-6.0536111,0039E,RWP
120,361085,91,BEANR,SNDKR,ANTWERP,DAKAR,43.5941667,-9.9027778,0039E,RWP
121,361085,92,BEANR,SNDKR,ANTWERP,DAKAR,43.2852778,-10.1063889,0039E,RWP
122,361085,93,BEANR,SNDKR,ANTWERP,DAKAR,42.7172222,-10.1033333,0039E,RWP
123,361085,94,BEANR,SNDKR,ANTWERP,DAKAR,28.485,-14.8836111,0039E,RWP
124,361085,95,BEANR,SNDKR,ANTWERP,DAKAR,28.345,-14.9205556,0039E,RWP
125,361085,96,BEANR,SNDKR,ANTWERP,DAKAR,27.6275,-15.2241667,0039E,RWP
126,361085,97,BEANR,SNDKR,ANTWERP,DAKAR,20.75,-17.9027778,0039E,RWP
127,361085,98,BEANR,SNDKR,ANTWERP,DAKAR,15.0,-17.9027778,0039E,RWP
128,361085,99,BEANR,SNDKR,ANTWERP,DAKAR,14.4686111,-17.7505556,0039E,RWP
129,361085,100,BEANR,SNDKR,ANTWERP,DAKAR,14.4763889,-17.3552778,0039E,RWP
130,361085,101,BEANR,SNDKR,ANTWERP,DAKAR,14.6344444,-17.3072222,0039E,RWP
131,361085,102,BEANR,SNDKR,ANTWERP,DAKAR,14.6722222,-17.3547222,0039E,RWP
132,361085,103,BEANR,SNDKR,ANTWERP,DAKAR,14.6833333,-17.3861111,0039E,RWP
133,361136,82,BEANR,SNDKR,ANTWERP,DAKAR,0.0,0.0,0040E,RWP
